"Name","Team","W","L","SV","G","GS","IP","K/9","BB/9","HR/9","BABIP","LOB%","GB%","HR/FB","vFA (pi)","ERA","xERA","FIP","xFIP","WAR","Age","W","L","ERA","G","GS","CG","ShO","SV","BS","IP","TBF","H","R","ER","HR","BB","IBB","HBP","WP","BK","SO","GB","FB","LD","IFFB","Balls","Strikes","Pitches","RS","IFH","BU","BUH","K/9","BB/9","K/BB","H/9","HR/9","AVG","WHIP","BABIP","LOB%","FIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","Starting","Start-IP","Relieving","Relief-IP","RAR","WAR","Dollars","tERA","xFIP","WPA","-WPA","+WPA","RE24","REW","pLI","inLI","gmLI","exLI","Pulls","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","HLD","SD","MD","ERA-","FIP-","xFIP-","K%","BB%","SIERA","RS/9","E-F","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","RA9-WAR","BIP-Wins","LOB-Wins","FDP-Wins","Age Rng","K-BB%","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","kwERA","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","K/9+","BB/9+","K/BB+","H/9+","HR/9+","AVG+","WHIP+","BABIP+","LOB%+","K%+","BB%+","LD%+","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xERA","playerid"
"Sal Butera","MON","0","0","0","1","0","1.0","0.00","0.00","0.00",".000","100.0%","","","","0.00","","2.68","","0.0","32","0","0","0.00","1","0","0","0","0","","1.0","3","0","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.00","0.00","0.00","0.00","0.00",".000","0.00",".000","100.0%","2.68","","","","","","","","","","","0.1","1.0","0.1","0.0","","","","0.00","0.00","0.00","0.46","0.05","0.00","0.00","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","73","","0.0%","0.0%","","","-2.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.1","-0.1","0.0","32 - 32","0.0%","","","","","","","4.54","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","0","0","0","0","0","","0","0","","","","","","","","","","","","","","","","","","0","","","","1001765"
"Jim Deshaies","HOU","0","0","0","2","0","3.0","6.00","0.00","0.00",".125","100.0%","","","","0.00","","1.35","","0.0","25","0","0","0.00","2","0","0","0","0","","3.0","10","1","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","6.00","0.00","2.00","3.00","0.00",".100","0.33",".125","100.0%","1.35","","","","","","","","","","","0.4","3.0","0.4","0.0","","","","0.03","0.00","0.03","2.08","0.22","0.13","0.12","0.16","0.12","2","0.24","-0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","38","","20.0%","0.0%","","","-1.35","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","-0.1","0.0","25 - 25","20.0%","","","","","","","2.14","20.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109","0","","35","0","40","25","45","138","138","0","","","","","","","","","","","","","","","","","","0","","","","1003228"
"John Habyan","BAL","1","0","0","2","0","2.2","6.75","0.00","0.00",".300","66.7%","","","","0.00","","1.18","","0.1","21","1","0","0.00","2","0","0","0","0","","2.2","12","3","1","0","0","0","0","0","0","0","2","","","","","","","","","","","","6.75","0.00","2.00","10.13","0.00",".250","1.13",".300","66.7%","1.18","","","","","","","","","","","0.9","2.2","0.9","0.1","","","","-0.04","-0.15","0.11","0.20","0.02","0.54","0.68","0.88","2.93","1","-0.02","-0.06","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","30","","16.7%","0.0%","","","-1.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","-0.1","21 - 21","16.7%","","","","","","","2.54","16.7%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","129","0","","113","0","97","82","108","94","122","0","","","","","","","","","","","","","","","","","","0","","","","1005176"
"Dennis Leonard","KCR","0","0","0","2","0","2.0","4.50","0.00","0.00",".167","100.0%","","","","0.00","","1.68","","0.0","34","0","0","0.00","2","0","0","0","0","","2.0","7","1","0","0","0","0","0","0","0","0","1","","","","","","","","","","","","4.50","0.00","1.00","4.50","0.00",".143","0.50",".167","100.0%","1.68","","","","","","","","","","","0.3","2.0","0.3","0.0","","","","0.01","0.00","0.01","0.91","0.10","0.06","0.09","0.09","0.05","1","0.10","0.04","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","43","","14.3%","0.0%","","","-1.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.0","0.0","34 - 34","14.3%","","","","","","","2.82","14.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","86","0","","50","0","56","37","60","141","105","0","","","","","","","","","","","","","","","","","","0","","","","1007531"
"Randy Myers","NYM","0","0","0","1","0","2.0","9.00","4.50","0.00",".000","100.0%","","","","0.00","","2.18","","0.0","22","0","0","0.00","1","0","0","0","0","","2.0","7","0","0","0","0","1","0","0","0","0","2","","","","","","","","","","","","9.00","4.50","2.00","0.00","0.00",".000","0.50",".000","100.0%","2.18","","","","","","","","","","","0.3","2.0","0.3","0.0","","","","0.07","-0.01","0.08","0.82","0.10","0.48","0.65","0.76","","0","0.12","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","0","0","60","","28.6%","14.3%","","","-2.18","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.0","0.1","22 - 22","14.3%","","","","","","","2.82","42.9%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","164","137","119","0","0","0","38","0","138","198","166","","","","","","","","","","","","","","","","","","0","","","","1009427"
"Randy Niemann","NYM","0","0","0","4","0","4.2","3.86","0.00","0.00",".313","100.0%","","","","0.00","","1.83","","0.1","29","0","0","0.00","4","0","0","0","0","","4.2","18","5","0","0","0","0","0","0","0","0","2","","","","","","","","","","","","3.86","0.00","2.00","9.64","0.00",".278","1.07",".313","100.0%","1.83","","","","","","","","","","","1.0","4.2","1.0","0.1","","","","-0.05","-0.22","0.17","-0.24","-0.02","0.59","0.87","1.03","0.36","4","0.11","-0.20","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","1","0","50","","11.1%","0.0%","","","-1.83","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.0","0.2","0.1","29 - 29","11.1%","","","","","","","3.20","11.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70","0","","113","0","112","82","114","138","77","0","","","","","","","","","","","","","","","","","","0","","","","1009589"
"Pat Perry","STL","1","0","0","6","0","12.1","4.38","2.19","0.00",".091","100.0%","","","","0.00","","2.44","","0.2","26","1","0","0.00","6","0","0","0","0","","12.1","42","3","0","0","0","3","1","0","1","0","6","","","","","","","","","","","","4.38","2.19","2.00","2.19","0.00",".077","0.49",".091","100.0%","2.44","","","","","","","","","","","1.8","12.1","1.8","0.2","","","","0.62","-0.14","0.77","5.24","0.59","0.94","1.00","0.95","0.78","5","0.73","-0.07","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","0","0","68","","14.3%","7.1%","","","-2.44","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.7","0.6","-0.1","0.5","26 - 26","7.1%","","","","","","","3.68","21.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","80","67","119","26","0","31","37","33","138","99","83","","","","","","","","","","","","","","","","","","0","","","","1010215"
"Razor Shines","MON","0","0","0","1","0","1.0","0.00","0.00","0.00",".250","100.0%","","","","0.00","","2.68","","0.0","28","0","0","0.00","1","0","0","0","0","","1.0","4","1","0","0","0","0","0","0","0","0","0","","","","","","","","","","","","0.00","0.00","0.00","9.00","0.00",".250","1.00",".250","100.0%","2.68","","","","","","","","","","","0.1","1.0","0.1","0.0","","","","0.00","0.00","0.00","0.47","0.05","0.00","0.00","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","73","","0.0%","0.0%","","","-2.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.0","0.0","28 - 28","0.0%","","","","","","","4.54","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","","105","0","101","76","91","138","0","0","","","","","","","","","","","","","","","","","","0","","","","1011901"
"Dave Tomlin","PIT","0","0","0","1","0","1.0","0.00","9.00","0.00",".333","100.0%","","","","0.00","","5.68","","0.0","36","0","0","0.00","1","0","0","0","0","","1.0","4","1","0","0","0","1","0","0","1","0","0","","","","","","","","","","","","0.00","9.00","0.00","9.00","0.00",".333","2.00",".333","100.0%","5.68","","","","","","","","","","","-0.2","1.0","-0.2","0.0","","","","0.03","-0.05","0.08","0.41","0.05","0.72","0.48","0.48","0.42","1","-0.01","0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","0","0","155","","0.0%","25.0%","","","-5.68","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","0.1","0.1","36 - 36","-25.0%","","","","","","","7.54","25.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0","274","0","105","0","135","152","121","138","0","290","","","","","","","","","","","","","","","","","","0","","","","1013110"
"Paul Mirabella","SEA","0","0","0","10","0","13.2","5.27","2.63","0.00",".209","73.3%","","","","1.32","","2.83","","0.3","31","0","0","1.32","10","0","0","0","0","","13.2","57","9","4","2","0","4","1","2","0","0","8","","","","","","","","","","","","5.27","2.63","2.00","5.93","0.00",".176","0.95",".209","73.3%","2.83","","","","","","","","","","","2.7","13.2","2.7","0.3","","","","-0.24","-0.68","0.43","-0.01","0.00","0.45","0.80","1.25","0.89","9","0.19","-0.73","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1","2","31","67","","14.0%","7.0%","","","-1.51","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.2","-0.1","0.1","31 - 31","7.0%","","","","","","","3.70","21.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","100","79","127","66","0","69","69","75","103","103","81","","","","","","","","","","","","","","","","","","0","","","","1008989"
