"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD+%","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xBA","xSLG","xwOBA","L-WAR","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"John Wetteland","TEX","61","1","0","1","1","0","0.0%","0.0%","1.000","1.000","1.000","1.000","2.000","1.260","","698","0.0","0.8","0.1","0.1","30","61","1","1","1","0","1","0","0","1","1","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","2.000","3.000","1.000","1.000","","","","","","","","","1.260","0.8","1","0.8","0.0","0.0","0.1","0.9","0.1","","2.6","698","0.10","0.00","0.10","1.15","0.12","0.88","","0","0.11","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","30 - 30","0.8","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369","0","0","293","466","634","331","","","","","","","","","","","","","","","","","","0","","","","","","0.1","61","1","0","1","1","0","0.0%","0.0%","1.000","1.000","1.000","1.000","2.000","1.260","","698","0.0","0.8","0.1","0.1","1013815"
"Jason Varitek","BOS","1","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","465","0.0","0.5","0.0","0.0","25","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".900","0.5","1","0.5","0.0","0.0","0.0","0.5","0.0","","0.1","465","0.00","0.00","0.00","0.40","0.04","0.01","0.01","1","0.02","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","","25 - 25","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369","0","0","293","233","0","331","","","","","","","","","","","","","","","","","","0","","","","","","0.0","1","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","465","0.0","0.5","0.0","0.0","217"
"Cory Bailey","SFG","7","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","474","0.0","0.5","0.1","0.1","26","7","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".900","0.5","1","0.5","0.0","0.0","0.1","0.6","0.1","","0.1","474","0.05","0.00","0.05","0.21","0.02","2.34","","0","0.02","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","26 - 26","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370","0","0","292","236","0","329","","","","","","","","","","","","","","","","","","0","","","","","","0.1","7","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","474","0.0","0.5","0.1","0.1","588"
"Dave Veres","MON","53","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","470","0.0","0.5","0.1","0.1","30","53","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".900","0.5","1","0.5","0.0","0.0","0.1","0.6","0.1","","0.1","470","0.00","0.00","0.00","0.26","0.03","0.05","","0","0.03","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","30 - 30","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370","0","0","292","236","0","329","","","","","","","","","","","","","","","","","","0","","","","","","0.1","53","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","470","0.0","0.5","0.1","0.1","1188"
"Carlos Castillo","CHW","37","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","470","0.0","0.5","0.1","0.1","22","37","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".900","0.5","1","0.5","0.0","0.0","0.1","0.6","0.1","","0.1","470","0.00","0.00","0.00","0.27","0.03","0.00","","0","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","22 - 22","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369","0","0","293","233","0","331","","","","","","","","","","","","","","","","","","0","","","","","","0.1","37","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","470","0.0","0.5","0.1","0.1","1002060"
"Terry Clark","TEX","9","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","463","0.0","0.5","0.1","0.1","36","9","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".900","0.5","1","0.5","0.0","0.0","0.1","0.6","0.1","","0.1","463","0.01","0.00","0.01","0.13","0.01","0.35","","0","0.03","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","36 - 36","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","369","0","0","293","233","0","331","","","","","","","","","","","","","","","","","","0","","","","","","0.1","9","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","463","0.0","0.5","0.1","0.1","1002312"
"Richie Lewis","CIN","4","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","470","0.0","0.5","0.1","0.1","31","4","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".900","0.5","1","0.5","0.0","0.0","0.1","0.6","0.1","","0.1","470","0.03","0.00","0.03","0.38","0.04","0.77","","0","0.04","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","31 - 31","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","370","0","0","292","236","0","329","","","","","","","","","","","","","","","","","","0","","","","","","0.1","4","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".900","","470","0.0","0.5","0.1","0.1","1007587"
"Rob Stanifer","FLA","36","4","0","1","1","0","0.0%","0.0%",".333",".667",".667",".750","1.000",".726","","360","0.0","1.3","0.4","0.2","25","36","3","4","2","1","1","0","0","1","1","0","0","0","1","0","0","0","0","0",".667","","","","","","","","","","","0.0%","0.0%","0.00",".750","1.000","1.750",".333",".667","","","","","","","","",".726","1.3","2","1.3","0.0","0.1","0.4","1.9","0.2","","2.6","360","0.05","-0.01","0.06","1.23","0.13","0.26","","0","0.13","0.08","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.0","","25 - 25","1.3","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","246","0","0","219","236","216","219","","","","","","","","","","","","","","","","","","0","","","","","","0.2","36","4","0","1","1","0","0.0%","0.0%",".333",".667",".667",".750","1.000",".726","","360","0.0","1.3","0.4","0.2","1012403"
"Jesse Orosco","BAL","71","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".714","","348","0.0","0.3","0.1","0.0","40","71","0","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0",".000","","","","","","","","","","","100.0%","0.0%","1.00","1.000",".000","1.000",".000",".000","","","","","","","","",".714","0.3","0","0.3","0.0","0.0","0.1","0.5","0.0","","0.1","348","0.02","0.00","0.02","0.12","0.01","0.96","","0","0.03","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","40 - 40","0.3","0.0","","","","","","","","100.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1105","0","293","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.0","71","1","0","0","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".714","","348","0.0","0.3","0.1","0.0","667"
"Bob Wells","SEA","46","1","0","1","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".714","","345","0.0","0.3","0.1","0.0","30","46","0","1","0","0","0","0","0","1","0","1","0","0","0","0","0","0","0","0",".000","","","","","","","","","","","100.0%","0.0%","1.00","1.000",".000","1.000",".000",".000","","","","","","","","",".714","0.3","0","0.3","0.0","0.0","0.1","0.5","0.0","","2.6","345","0.01","0.00","0.01","0.40","0.04","0.28","","0","0.04","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","30 - 30","0.3","0.0","","","","","","","","100.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1105","0","293","","","","","","","","","","","","","","","","","","","","","0","","","","","","0.0","46","1","0","1","0","0","100.0%","0.0%",".000",".000",".000","1.000",".000",".714","","345","0.0","0.3","0.1","0.0","760"
