"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","Age","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","GB","FB","LD","IFFB","Pitches","Balls","Strikes","IFH","BU","BUH","BB%","K%","BB/K","OBP","SLG","OPS","ISO","BABIP","GB/FB","LD%","GB%","FB%","IFFB%","HR/FB","IFH%","BUH%","wOBA","wRAA","wRC","Bat","Fld","Rep","Pos","RAR","WAR","Dol","Spd","wRC+","WPA","-WPA","+WPA","RE24","REW","pLI","phLI","PH","WPA/LI","Clutch","FB%","FBv","SL%","SLv","CT%","CTv","CB%","CBv","CH%","CHv","SF%","SFv","KN%","KNv","XX%","PO%","wFB","wSL","wCT","wCB","wCH","wSF","wKN","wFB/C","wSL/C","wCT/C","wCB/C","wCH/C","wSF/C","wKN/C","O-Swing%","Z-Swing%","Swing%","O-Contact%","Z-Contact%","Contact%","Zone%","F-Strike%","SwStr%","BsR","FA% (sc)","FT% (sc)","FC% (sc)","FS% (sc)","FO% (sc)","SI% (sc)","SL% (sc)","CU% (sc)","KC% (sc)","EP% (sc)","CH% (sc)","SC% (sc)","KN% (sc)","UN% (sc)","vFA (sc)","vFT (sc)","vFC (sc)","vFS (sc)","vFO (sc)","vSI (sc)","vSL (sc)","vCU (sc)","vKC (sc)","vEP (sc)","vCH (sc)","vSC (sc)","vKN (sc)","FA-X (sc)","FT-X (sc)","FC-X (sc)","FS-X (sc)","FO-X (sc)","SI-X (sc)","SL-X (sc)","CU-X (sc)","KC-X (sc)","EP-X (sc)","CH-X (sc)","SC-X (sc)","KN-X (sc)","FA-Z (sc)","FT-Z (sc)","FC-Z (sc)","FS-Z (sc)","FO-Z (sc)","SI-Z (sc)","SL-Z (sc)","CU-Z (sc)","KC-Z (sc)","EP-Z (sc)","CH-Z (sc)","SC-Z (sc)","KN-Z (sc)","wFA (sc)","wFT (sc)","wFC (sc)","wFS (sc)","wFO (sc)","wSI (sc)","wSL (sc)","wCU (sc)","wKC (sc)","wEP (sc)","wCH (sc)","wSC (sc)","wKN (sc)","wFA/C (sc)","wFT/C (sc)","wFC/C (sc)","wFS/C (sc)","wFO/C (sc)","wSI/C (sc)","wSL/C (sc)","wCU/C (sc)","wKC/C (sc)","wEP/C (sc)","wCH/C (sc)","wSC/C (sc)","wKN/C (sc)","O-Swing% (sc)","Z-Swing% (sc)","Swing% (sc)","O-Contact% (sc)","Z-Contact% (sc)","Contact% (sc)","Zone% (sc)","Pace","Def","wSB","UBR","Age Rng","Off","Lg","wGDP","Pull%","Cent%","Oppo%","Soft%","Med%","Hard%","TTO%","CH% (pi)","CS% (pi)","CU% (pi)","FA% (pi)","FC% (pi)","FS% (pi)","KN% (pi)","SB% (pi)","SI% (pi)","SL% (pi)","XX% (pi)","vCH (pi)","vCS (pi)","vCU (pi)","vFA (pi)","vFC (pi)","vFS (pi)","vKN (pi)","vSB (pi)","vSI (pi)","vSL (pi)","vXX (pi)","CH-X (pi)","CS-X (pi)","CU-X (pi)","FA-X (pi)","FC-X (pi)","FS-X (pi)","KN-X (pi)","SB-X (pi)","SI-X (pi)","SL-X (pi)","XX-X (pi)","CH-Z (pi)","CS-Z (pi)","CU-Z (pi)","FA-Z (pi)","FC-Z (pi)","FS-Z (pi)","KN-Z (pi)","SB-Z (pi)","SI-Z (pi)","SL-Z (pi)","XX-Z (pi)","wCH (pi)","wCS (pi)","wCU (pi)","wFA (pi)","wFC (pi)","wFS (pi)","wKN (pi)","wSB (pi)","wSI (pi)","wSL (pi)","wXX (pi)","wCH/C (pi)","wCS/C (pi)","wCU/C (pi)","wFA/C (pi)","wFC/C (pi)","wFS/C (pi)","wKN/C (pi)","wSB/C (pi)","wSI/C (pi)","wSL/C (pi)","wXX/C (pi)","O-Swing% (pi)","Z-Swing% (pi)","Swing% (pi)","O-Contact% (pi)","Z-Contact% (pi)","Contact% (pi)","Zone% (pi)","Pace (pi)","FRM","AVG+","BB%+","K%+","OBP+","SLG+","ISO+","BABIP+","LD+%","GB%+","FB%+","HR/FB%+","Pull%+","Cent%+","Oppo%+","Soft%+","Med%+","Hard%+","EV","LA","Barrels","Barrel%","maxEV","HardHit","HardHit%","Events","CStr%","CSW%","xBA","xSLG","xwOBA","L-WAR","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Dave Von Ohlen","STL","27","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".908","","503","0.0","0.5","0.1","0.1","25","27","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1.000","","","","","","","","","","","0.0%","0.0%","0.00","1.000","1.000","2.000",".000","1.000","","","","","","","","",".908","0.5","1","0.5","0.0","0.0","0.1","0.6","0.1","","0.1","503","0.01","0.00","0.01","0.24","0.03","0.28","","0","0.05","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","25 - 25","0.5","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","380","0","0","305","261","0","344","","","","","","","","","","","","","","","","","","0","","","","","","0.1","27","1","0","0","0","0","0.0%","0.0%",".000","1.000","1.000","1.000","1.000",".908","","503","0.0","0.5","0.1","0.1","1013454"
"Terry Forster","ATL","25","3","0","1","1","0","0.0%","33.3%",".000","1.000",".667",".667",".667",".605","","290","0.0","0.6","0.3","0.1","32","25","3","3","2","2","0","0","0","1","1","0","0","1","0","0","0","0","0","0",".667","","","","","","","","","","","0.0%","33.3%","0.00",".667",".667","1.333",".000","1.000","","","","","","","","",".605","0.7","1","0.6","0.0","0.1","0.3","1.0","0.1","","2.6","290","-0.01","-0.04","0.03","1.52","0.16","0.71","","0","0.09","-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.0","","32 - 32","0.6","0.0","","","","","","","","33.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","253","0","245","203","174","0","344","","","","","","","","","","","","","","","","","","0","","","","","","0.1","25","3","0","1","1","0","0.0%","33.3%",".000","1.000",".667",".667",".667",".605","","290","0.0","0.6","0.3","0.1","1004236"
"Jamie Quirk","- - -","4","4","1","1","2","0","0.0%","50.0%","1.000",".000",".333",".250","1.333",".535","","248","0.0","0.6","0.0","0.1","29","4","3","4","1","0","0","0","1","1","2","0","0","2","0","1","0","0","0","0",".333","","","","","","","","","","","0.0%","50.0%","0.00",".250","1.333","1.583","1.000",".000","","","","","","","","",".535","0.7","1","0.6","0.0","0.1","0.0","0.8","0.1","","0.1","248","0.38","-0.12","0.51","0.29","0.03","2.33","2.62","3","0.28","-0.11","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","","29 - 29","0.6","0.0","","","","","","","","75.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","126","0","375","77","335","745","0","","","","","","","","","","","","","","","","","","0","","","","","","0.1","4","4","1","1","2","0","0.0%","50.0%","1.000",".000",".333",".250","1.333",".535","","248","0.0","0.6","0.0","0.1","1010621"
"Mike Laga","DET","9","12","0","1","1","0","8.3%","16.7%",".000",".667",".545",".583",".545",".513","","225","0.0","1.8","-0.5","0.2","24","9","11","12","6","6","0","0","0","1","1","1","0","2","0","0","0","0","0","0",".545","","","","","","","","","","","8.3%","16.7%","0.50",".583",".545","1.129",".000",".667","","","","","","","","",".513","1.8","3","1.8","0.0","0.3","-0.5","1.6","0.2","","0.4","225","-0.01","-0.22","0.21","1.12","0.12","1.16","1.81","1","0.17","-0.17","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-0.5","0.0","","24 - 24","1.8","0.0","","","","","","","","25.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","207","101","125","179","137","0","234","","","","","","","","","","","","","","","","","","0","","","","","","0.2","9","12","0","1","1","0","8.3%","16.7%",".000",".667",".545",".583",".545",".513","","225","0.0","1.8","-0.5","0.2","1007253"
"Larry Sheets","BAL","8","17","1","3","2","0","5.9%","17.6%",".250",".500",".438",".471",".688",".511","","224","0.0","2.5","1.8","0.5","24","8","16","17","7","5","1","0","1","3","2","1","0","3","0","0","0","0","0","0",".438","","","","","","","","","","","5.9%","17.6%","0.33",".471",".688","1.158",".250",".500","","","","","","","","",".511","2.5","4","2.5","2.0","0.5","-0.2","4.8","0.5","","1.3","224","0.22","-0.17","0.39","3.40","0.36","0.73","0.96","1","0.08","0.22","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.8","0.0","","24 - 24","2.5","0.0","","","","","","","","29.4%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","166","71","132","144","173","186","175","","","","","","","","","","","","","","","","","","0","","","","","","0.5","8","17","1","3","2","0","5.9%","17.6%",".250",".500",".438",".471",".688",".511","","224","0.0","2.5","1.8","0.5","1011852"
"Zane Smith","ATL","3","9","0","1","0","0","0.0%","11.1%",".000",".625",".556",".556",".556",".504","","221","0.0","1.2","0.8","0.2","23","3","9","9","5","5","0","0","0","1","0","0","0","1","0","0","0","0","0","0",".556","","","","","","","","","","","0.0%","11.1%","0.00",".556",".556","1.111",".000",".625","","","","","","","","",".504","1.3","2","1.2","0.0","0.3","0.8","2.3","0.2","","0.8","221","0.11","-0.07","0.18","0.96","0.10","0.90","","0","0.13","0.00","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.8","0.0","","23 - 23","1.2","0.0","","","","","","","","11.1%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","211","0","82","169","145","0","215","","","","","","","","","","","","","","","","","","0","","","","","","0.2","3","9","0","1","0","0","0.0%","11.1%",".000",".625",".556",".556",".556",".504","","221","0.0","1.2","0.8","0.2","1012218"
"Marc Sullivan","BOS","2","7","0","1","1","0","14.3%","0.0%",".000",".500",".500",".571",".500",".490","","205","0.0","0.9","0.1","0.1","25","2","6","7","3","3","0","0","0","1","1","1","0","0","0","0","0","0","0","0",".500","","","","","","","","","","","14.3%","0.0%","1.00",".571",".500","1.071",".000",".500","","","","","","","","",".490","0.9","2","0.9","0.0","0.2","0.1","1.2","0.1","","1.1","205","0.20","-0.02","0.22","1.66","0.18","0.70","","0","0.14","0.14","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.0","","25 - 25","0.9","0.0","","","","","","","","14.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","173","0","175","126","0","175","","","","","","","","","","","","","","","","","","0","","","","","","0.1","2","7","0","1","1","0","14.3%","0.0%",".000",".500",".500",".571",".500",".490","","205","0.0","0.9","0.1","0.1","1012706"
"Steve Christmas","CHW","12","11","1","1","4","0","0.0%","18.2%",".364",".375",".364",".364",".727",".478","","199","0.0","1.3","0.0","0.2","26","12","11","11","4","2","1","0","1","1","4","0","0","2","0","0","0","0","0","0",".364","","","","","","","","","","","0.0%","18.2%","0.00",".364",".727","1.091",".364",".375","","","","","","","","",".478","1.4","3","1.3","0.0","0.3","0.0","1.6","0.2","","0.1","199","0.20","-0.31","0.50","2.13","0.23","1.63","1.63","11","0.10","0.02","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","0.0","","26 - 26","1.3","0.0","","","","","","","","27.3%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","138","0","136","111","183","271","131","","","","","","","","","","","","","","","","","","0","","","","","","0.2","12","11","1","1","4","0","0.0%","18.2%",".364",".375",".364",".364",".727",".478","","199","0.0","1.3","0.0","0.2","1002223"
"Keefe Cato","CIN","8","4","0","1","1","0","0.0%","0.0%",".000",".500",".500",".500",".500",".454","","188","0.0","0.4","0.3","0.1","26","8","4","4","2","2","0","0","0","1","1","0","0","0","0","0","0","0","0","0",".500","","","","","","","","","","","0.0%","0.0%","0.00",".500",".500","1.000",".000",".500","","","","","","","","",".454","0.4","1","0.4","0.0","0.1","0.3","0.9","0.1","","2.6","188","-0.02","-0.03","0.00","1.14","0.13","0.28","","0","-0.04","-0.05","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.3","0.0","","26 - 26","0.4","0.0","","","","","","","","0.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","0","0","152","131","0","172","","","","","","","","","","","","","","","","","","0","","","","","","0.1","8","4","0","1","1","0","0.0%","0.0%",".000",".500",".500",".500",".500",".454","","188","0.0","0.4","0.3","0.1","1002084"
"Ken Dayley","- - -","8","5","0","1","0","0","0.0%","40.0%",".000","1.000",".500",".500",".500",".454","","129","0.0","0.1","0.4","0.1","25","8","4","5","2","2","0","0","0","1","0","0","0","2","0","0","1","0","0","0",".500","","","","","","","","","","","0.0%","40.0%","0.00",".500",".500","1.000",".000","1.000","","","","","","","","",".454","0.2","1","0.1","0.0","0.1","0.4","0.7","0.1","","2.6","129","0.01","-0.05","0.06","0.24","0.02","0.83","","0","0.02","-0.01","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.4","0.0","","25 - 25","0.1","0.0","","","","","","","","40.0%","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","190","0","294","152","131","0","344","","","","","","","","","","","","","","","","","","0","","","","","","0.1","8","5","0","1","0","0","0.0%","40.0%",".000","1.000",".500",".500",".500",".454","","129","0.0","0.1","0.4","0.1","1003097"
