Season,Name,Team,Age,playerid,Pos_Cat
2005,Eddie Rogers,BAL,26,1621,DH
2007,Charlton Jimerson,SEA,27,2171,DH
2017,Erik Kratz,NYY,37,4403,DH
1991,Eric Wedge,BOS,23,1013723,DH
2003,Chris Latham,NYY,30,882,DH
2014,Carlos Rivero,BOS,26,1136,DH
1998,Milt Cuyler,TEX,29,1002915,DH
1998,Keith Johns,BOS,26,1006478,DH
2013,John Hester,LAA,29,877,DH
2020,Luis Campusano,SDP,21,22217,DH
2007,Joe Inglett,TOR,29,7254,DH
2017,Darrell Ceciliani,TOR,27,9954,DH
1995,Brian Giles,CLE,24,990,DH
1982,Greg Walker,CHW,22,1013520,DH
2017,Miguel Andujar,NYY,22,15878,DH
1982,Bob Skube,MIL,24,1012045,DH
2016,Trey Mancini,BAL,24,15149,DH
2021,Seth Beer,ARI,24,20493,DH
1995,Jeromy Burnitz,CLE,26,867,DH
1993,Sam Horn,CLE,29,1006029,DH
2012,Dan Johnson,CHW,32,2167,DH
1993,Steve Balboni,TEX,36,1000473,DH
1992,Rance Mulliniks,TOR,36,1009309,DH
2002,Pat Borders,SEA,39,1068,DH
1987,Tack Wilson,CAL,32,1014106,DH
2001,Erick Almonte,NYY,23,808,DH
2007,Jeff Clement,SEA,23,4652,DH
2011,Esteban German,TEX,33,1449,DH
1984,Mike Laga,DET,24,1007253,DH
1998,Robert Fick,DET,24,466,DH
1996,Luis Ortiz,TEX,26,1009862,DH
1983,Randy Ready,MIL,23,1010738,DH
2002,Juan Diaz,BOS,28,187,DH
2004,Ernie Young,CLE,34,79,DH
2001,Matthew LeCroy,MIN,25,1456,DH
2008,Taylor Teagarden,TEX,24,5199,DH
1998,Chris Tremie,TEX,28,1968,DH
1986,Jay Bell,CLE,20,48,DH
2017,Christian Walker,ARI,26,13419,DH
1999,Darryl Strawberry,NYY,37,1012606,DH
1991,Tim McIntosh,MIL,26,1008574,DH
2022,Matt Carpenter,NYY,36,8090,DH
2009,Wilkin Ramirez,DET,23,5219,DH
1995,Edgar Martinez,SEA,32,1086,DH
1998,Billy Ashley,BOS,27,1000339,DH
1981,Steve Balboni,NYY,24,1000473,DH
1995,Bernardo Brito,MIN,31,1001444,DH
2002,Manny Ramirez,BOS,30,210,DH
1997,Frank Thomas,CHW,29,255,DH
1990,Jeff Stone,BOS,29,1012567,DH
1999,Mike Simms,TEX,32,1011987,DH
1994,Jerry Willard,SEA,34,1013963,DH
1996,Edgar Martinez,SEA,33,1086,DH
2006,Travis Hafner,CLE,29,1573,DH
2003,Felix Jose,ARI,38,1610,DH
1994,Damon Buford,BAL,24,1001635,DH
2007,David Ortiz,BOS,31,745,DH
2007,John-Ford Griffin,TOR,27,2182,DH
1992,Phil Clark,DET,24,1002303,DH
1987,Lou Thornton,TOR,24,1013039,DH
2020,Marcell Ozuna,ATL,29,10324,DH
1991,Frank Thomas,CHW,23,255,DH
2012,Melky Mesa,NYY,25,447,DH
2020,Eduardo Nunez,NYM,33,6848,DH
1995,Frank Thomas,CHW,27,255,DH
2000,Frank Thomas,CHW,32,255,DH
2015,Rico Noel,NYY,26,10585,DH
2002,Jason Giambi,NYY,31,818,DH
2022,David Hensley,HOU,26,25111,DH
2016,Matt Davidson,CHW,25,7226,DH
2012,Bill Hall,BAL,32,1605,DH
2010,Jim Thome,MIN,39,409,DH
2020,Tyler Stephenson,CIN,23,17988,DH
1999,Rafael Palmeiro,TEX,34,1266,DH
1997,Edgar Martinez,SEA,34,1086,DH
1996,Brian Giles,CLE,25,990,DH
1986,Johnny Grubb,DET,37,1005103,DH
1999,Edgar Martinez,SEA,36,1086,DH
1980,Larry Hisle,MIL,33,1005858,DH
1987,Paul Molitor,MIL,30,1009040,DH
2019,Yordan Alvarez,HOU,22,19556,DH
2006,Adam Lind,TOR,22,8027,DH
2009,Randy Ruiz,TOR,31,2761,DH
2005,Joe Borchard,CHW,26,224,DH
1980,Reggie Jackson,NYY,34,1006308,DH
1984,Nelson Simmons,DET,21,1011984,DH
1996,Nigel Wilson,CLE,26,1014099,DH
1997,David Justice,CLE,31,923,DH
2018,J.D. Martinez,BOS,30,6184,DH
2006,David Ortiz,BOS,30,745,DH
2022,Yordan Alvarez,HOU,25,19556,DH
2021,Nick Fortes,MIA,24,21538,DH
2013,Joey Butler,TEX,27,7799,DH
2012,David Ortiz,BOS,36,745,DH
1998,Edgar Martinez,SEA,35,1086,DH
2016,Gary Sanchez,NYY,23,11442,DH
2004,Frank Thomas,CHW,36,255,DH
2008,Milton Bradley,TEX,30,369,DH
2000,Edgar Martinez,SEA,37,1086,DH
2005,Travis Hafner,CLE,28,1573,DH
2011,Jesus Montero,NYY,21,5514,DH
2005,Jason Giambi,NYY,34,818,DH
2006,Jim Thome,CHW,35,409,DH
1998,Mike Simms,TEX,31,1011987,DH
2008,Jason Bourgeois,CHW,26,2225,DH
1989,Ozzie Virgil,TOR,32,1013439,DH
2016,David Ortiz,BOS,40,745,DH
1996,Jose Canseco,BOS,31,1001918,DH
2005,David Ortiz,BOS,29,745,DH
2004,Travis Hafner,CLE,27,1573,DH
2019,Nelson Cruz,MIN,38,2434,DH
1999,John Jaha,OAK,33,1006336,DH
2005,John-Ford Griffin,TOR,25,2182,DH
1988,Ken Phelps,- - -,33,1010277,DH
1995,Keith Miller,KCR,32,1008910,DH
2020,Jorge Ona,SDP,23,20040,DH
2001,Manny Ramirez,BOS,29,210,DH
1996,Reggie Jefferson,BOS,27,1006381,DH
1994,Bob Hamelin,KCR,26,1005269,DH
1998,Eric Davis,BAL,36,1003048,DH
2007,Jim Thome,CHW,36,409,DH
2000,Morgan Burkhart,BOS,28,1745,DH
2020,Nelson Cruz,MIN,39,2434,DH
2014,Victor Martinez,DET,35,393,DH
1994,Chili Davis,CAL,34,1003041,DH
1996,Scott Spiezio,OAK,23,37,DH
1980,Dennis Werth,NYY,27,1013791,DH
1987,Ken Phelps,SEA,32,1010277,DH
1989,Ron Kittle,CHW,31,1006982,DH
2004,Andres Galarraga,ANA,43,1390,DH
2001,Edgar Martinez,SEA,38,1086,DH
