Season,Team,Team_GP,Team_WL
2002,LAA,162,0.611
2004,LAA,162,0.568
1998,LAA,162,0.525
1997,LAA,162,0.519
2000,LAA,162,0.506
2003,LAA,162,0.475
2001,LAA,162,0.463
1999,LAA,162,0.432
1999,ARI,162,0.617
2002,ARI,162,0.605
2011,ARI,162,0.58
2017,ARI,162,0.574
2001,ARI,162,0.568
2007,ARI,162,0.556
2019,ARI,162,0.525
2000,ARI,162,0.525
2003,ARI,162,0.519
2018,ARI,162,0.506
2008,ARI,162,0.506
2013,ARI,162,0.5
2012,ARI,162,0.5
2015,ARI,162,0.488
2005,ARI,162,0.475
2006,ARI,162,0.469
2022,ARI,162,0.457
2009,ARI,162,0.432
2016,ARI,162,0.426
2010,ARI,162,0.401
1998,ARI,162,0.401
2014,ARI,162,0.395
2021,ARI,162,0.321
2004,ARI,162,0.315
2020,ARI,60,0.417
1998,ATL,162,0.654
1993,ATL,162,0.642
1999,ATL,162,0.636
2022,ATL,162,0.623
2003,ATL,162,0.623
2002,ATL,161,0.631
1997,ATL,162,0.623
1992,ATL,162,0.605
2019,ATL,162,0.599
2013,ATL,162,0.593
2004,ATL,162,0.593
1996,ATL,162,0.593
2000,ATL,162,0.586
2012,ATL,162,0.58
1991,ATL,162,0.58
2010,ATL,162,0.562
2018,ATL,162,0.556
2005,ATL,162,0.556
1995,ATL,144,0.625
2011,ATL,162,0.549
1982,ATL,162,0.549
2021,ATL,161,0.547
2001,ATL,162,0.543
1983,ATL,162,0.543
2009,ATL,162,0.531
2007,ATL,162,0.519
1980,ATL,161,0.503
1984,ATL,162,0.494
2014,ATL,162,0.488
2006,ATL,162,0.488
2017,ATL,162,0.444
2008,ATL,162,0.444
1986,ATL,161,0.447
1987,ATL,161,0.429
2016,ATL,161,0.422
1994,ATL,114,0.596
2015,ATL,162,0.414
1985,ATL,162,0.407
1990,ATL,162,0.401
1989,ATL,161,0.394
1988,ATL,160,0.338
1981,ATL,107,0.472
2020,ATL,60,0.583
1980,BAL,162,0.617
1997,BAL,162,0.605
1983,BAL,162,0.605
2014,BAL,162,0.593
1982,BAL,163,0.58
2012,BAL,162,0.574
2016,BAL,162,0.549
1992,BAL,162,0.549
1996,BAL,163,0.543
1989,BAL,162,0.537
2013,BAL,162,0.525
1993,BAL,162,0.525
1984,BAL,162,0.525
2022,BAL,162,0.512
1985,BAL,161,0.516
2015,BAL,162,0.5
1998,BAL,162,0.488
2004,BAL,162,0.481
1999,BAL,162,0.481
1990,BAL,161,0.472
2017,BAL,162,0.463
2005,BAL,162,0.457
2000,BAL,162,0.457
1986,BAL,162,0.451
2003,BAL,163,0.438
1995,BAL,144,0.493
2006,BAL,162,0.432
2011,BAL,162,0.426
2007,BAL,162,0.426
2008,BAL,161,0.422
2002,BAL,162,0.414
1991,BAL,162,0.414
1987,BAL,162,0.414
2010,BAL,162,0.407
2009,BAL,162,0.395
2001,BAL,162,0.391
1994,BAL,112,0.563
1981,BAL,105,0.562
2019,BAL,162,0.333
1988,BAL,161,0.335
2021,BAL,162,0.321
2018,BAL,162,0.29
2020,BAL,60,0.417
2018,BOS,162,0.667
2004,BOS,162,0.605
2013,BOS,162,0.599
2007,BOS,162,0.593
2009,BOS,162,0.586
2008,BOS,162,0.586
